UNIQUE	ID	Name	Description	HEK293-RIC	HuH7-IC	HeLa-RNPxl	HeLa-IC	HeLa-RBDmap	K562-serIC-chr	K562-serIC	Enzyme	Metabolism	"""Metabolic.Enzyme"""
				Hs_Baltz2012	Hs_Beckmann2015	Hs_Kramer2014	Hs_Castello2012	Hs_Castello2016	Hs_Conrad2016_chr	Hs_Conrad2016			
A1CF	ENSG00000148584	A1CF	APOBEC1 complementation factor	no	YES	no	no	YES	no	no	FALSE	FALSE	FALSE
AARS	ENSG00000090861	AARS	alanyl-tRNA synthetase	no	YES	no	no	no	no	no	TRUE	FALSE	FALSE
AATF	ENSG00000276072;ENSG00000275700	AATF	apoptosis antagonizing transcription factor	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
ABCE1	ENSG00000164163	ABCE1	ATP binding cassette subfamily E member 1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
ABCF1	ENSG00000225989;ENSG00000232169;ENSG00000204574;ENSG00000206490;ENSG00000236149;ENSG00000236342;ENSG00000231129	ABCF1	ATP binding cassette subfamily F member 1	YES	no	no	YES	YES	no	no	FALSE	FALSE	FALSE
ABT1	ENSG00000146109	ABT1	activator of basal transcription 1	YES	YES	no	YES	no	no	YES	FALSE	FALSE	FALSE
AC013461.1	ENSG00000091436	AC013461.1	Mitogen-activated protein kinase kinase kinase MLT 	YES	no	no	YES	no	no	no	TRUE	FALSE	FALSE
ACAA2	ENSG00000167315	ACAA2	acetyl-CoA acyltransferase 2	no	no	no	YES	YES	no	no	TRUE	TRUE	TRUE
ACAT1	ENSG00000075239	ACAT1	acetyl-CoA acetyltransferase 1	no	no	no	no	YES	no	no	TRUE	TRUE	TRUE
ACIN1	ENSG00000100813	ACIN1	apoptotic chromatin condensation inducer 1	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
ACO1	ENSG00000122729	ACO1	aconitase 1	no	YES	no	no	no	no	no	TRUE	FALSE	FALSE
ACO2	ENSG00000100412	ACO2	aconitase 2	no	no	no	no	YES	no	no	TRUE	TRUE	TRUE
ACTN4	ENSG00000130402	ACTN4	actinin alpha 4	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
ADAR	ENSG00000160710	ADAR	adenosine deaminase, RNA specific	YES	YES	no	YES	YES	YES	YES	TRUE	FALSE	FALSE
ADARB1	ENSG00000197381	ADARB1	adenosine deaminase, RNA specific B1	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
