Supplementary Table S1: Summary of identified proteins,,,,,,,,,,,,,,,,,,,
id,Class,Protein.ID,RefSeq,Offical gene symbol,Uniprot,log2FC.experiment L1,log2FC.experiment H1 (label swap),log2FC.experiment L2,mean log2FC (experiment 1-3),log10 iBAQ,Functional Group,RNA binding,spliceosome,nucleolus,OMIM Phenotype,Phenotype MIM number,RNA-binding prediction (% precision),mRNA-binding prediction (% precision),ssRNA-binding prediction (% precision)
155,I,IPI00021570,NP_003783,EDF1,O60869-1;O60869;O60869-2,-7.972907112,3.487614972,-6.984187322,6.1482364687,6.9629845843,candidate mRNA binder,,,x,,,20,,
893,I,IPI00386444,NP_892006 ,SYNE1,Q8NF91-1;Q8NF91;B7ZBC3;Q8NF91-6;Q5JRD9;Q8NF91-4;Q5JV23;Q8NF91-2;Q7RTM4;Q8NF91-8;B3KV58;B4E3R1;B7Z9Y6;B7ZBD0;Q5BKU8;Q7Z3K4,-6.896546137,3.610109447,-7.549349851,6.0186684783,7.1504518385,candidate mRNA binder,,,,"Emery-Dreifuss muscular dystrophy 4, autosomal dominant; Spinocerebellar ataxia, autosomal recessive 8  ","612998, 610743",0,,
1299,I,IPI00646304,NP_000933,PPIB,P23284,-4.615287038,2.488000771,-10.64404087,5.9157762263,6.3294688151,candidate mRNA binder,,,,"Osteogenesis imperfecta, type IX",259440,0,,
912,I,IPI00290566,NP_110379,TCP1,P17987,-7.164025493,3.033881067,-7.512793573,5.903566711,7.7527857379,candidate mRNA binder,,,,,,0,,
198,I,IPI00008557,NP_006537,IGF2BP1,Q9NZI8,-6.656578987,3.277523606,-7.183942005,5.706014866,9.24317133,RNAbinding,x,,,,,,,
1311,I,IPI00658000,NP_006538,IGF2BP3,O00425-1;O00425;C9JSN3,-6.810731314,3.216672146,-6.93845327,5.6552855767,8.8907371027,RNAbinding,x,,,,,,,
361,I,IPI00018140,NP_006363,SYNCRIP,O60506-1;O60506;B2R8Z8;O60506-2,-6.611755347,3.426533138,-6.40091839,5.479735625,9.2904097985,RNAbinding,x,x,x,,,,,
193,I,IPI00008524,NP_002559,PABPC1,P11940-1;P11940;B4DZW4;P11940-2;B3KT93;B4DQX0,-6.126933338,3.456017576,-6.804896357,5.462615757,8.3883461907,RNAbinding,x,x,,,,,,
1403,I,IPI00877807,NP_006588,HSPA8,P11142,-6.455961785,3.500292177,-6.229504133,5.3952526983,6.782491,candidate mRNA binder,,,,,,0,,
74,I,IPI00001146,NP_009011,LSM6,P62312;Q4W5J5,-6.338294174,3.246955265,-6.545436632,5.376895357,6.4985189651,RNAbinding,x,x,,,,,,
664,I,IPI00140420,NP_055205,SND1,Q7KZF4;B2R5U1;B3KU67;Q59FF0,-6.429482665,3.430954271,-6.267454663,5.3759638663,9.1619680636,RNAbinding,x,,,,,,,
