GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024RBG1	NUDT4B	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	9606	UniProt		F
UniProtKB	A0AV96	RBM47	enables	GO:0003723	RNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR034442	9606	InterPro		F
UniProtKB	A0AV96	RBM47	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	9606	UniProt		F
UniProtKB	A0AV96	RBM47	enables	GO:0003723	RNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91WT8|ensembl:ENSMUSP00000144122	9606	Ensembl		F
UniProtKB	A0AV96	RBM47	enables	GO:0003723	RNA binding	ECO:0007005	HDA	PMID:22658674		9606	UniProt		F
UniProtKB	A0AV96	RBM47	enables	GO:0003723	RNA binding	ECO:0007005	HDA	PMID:22681889		9606	UniProt		F
UniProtKB	A1L020	MEX3A	enables	GO:0003723	RNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004088|InterPro:IPR036612	9606	InterPro		F
UniProtKB	A1L020	MEX3A	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	9606	UniProt		F
UniProtKB	A1L020	MEX3A	enables	GO:0003723	RNA binding	ECO:0007005	HDA	PMID:22681889		9606	UniProt		F
UniProtKB	A2RUC4	TYW5	enables	GO:0000049	tRNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR029612	9606	InterPro		F
UniProtKB	A2RUC4	TYW5	enables	GO:0000049	tRNA binding	ECO:0000314	IDA	PMID:20972222		9606	UniProt		F
UniProtKB	A4D1E9	GTPBP10	enables	GO:0003723	RNA binding	ECO:0007005	HDA	PMID:22658674		9606	UniProt		F
UniProtKB	A5YKK6	CNOT1	enables	GO:0003723	RNA binding	ECO:0007005	HDA	PMID:22658674		9606	UniProt		F
UniProtKB	A5YKK6	CNOT1	enables	GO:0003723	RNA binding	ECO:0007005	HDA	PMID:22681889		9606	UniProt		F
UniProtKB	A6NC42	DPPA5	enables	GO:0003723	RNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR036612	9606	InterPro		F
UniProtKB	A6NC42	DPPA5	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	9606	UniProt		F
UniProtKB	A6NC97	FAM172BP	contributes_to	GO:0035197	siRNA binding	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN001085504|PomBase:SPAC13G7.07	9606	GO_Central		F
UniProtKB	A6NDE4	RBMY1B	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	9606	UniProt		F
UniProtKB	A6NDE4	RBMY1B	enables	GO:0003723	RNA binding	ECO:0000318	IBA	PMID:21873635	MGI:MGI:104819|MGI:MGI:1330294|MGI:MGI:893588|MGI:MGI:97286|PANTHER:PTN002689974|RGD:1306751|RGD:1310403|RGD:1310906|RGD:3153|RGD:69234|SGD:S000003391|SGD:S000005483|TAIR:locus:2019622|TAIR:locus:2076096|TAIR:locus:2079874|TAIR:locus:2083810|TAIR:locus:2122009|TAIR:locus:2159401|TAIR:locus:2179939|UniProtKB:P19338|UniProtKB:P22626|UniProtKB:P38159|UniProtKB:P62995|UniProtKB:Q03250|UniProtKB:Q13148|UniProtKB:Q14103|UniProtKB:Q9SVM8	9606	GO_Central		F
UniProtKB	A6NDE4	RBMY1B	enables	GO:0003723	RNA binding	ECO:0000303	NAS	PMID:9598316		9606	UniProt		F
UniProtKB	A6NDY0	PABPN1L	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	9606	UniProt		F
UniProtKB	A6NEQ0	RBMY1E	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	9606	UniProt		F
UniProtKB	A6NEQ0	RBMY1E	enables	GO:0003723	RNA binding	ECO:0000318	IBA	PMID:21873635	FB:FBgn0000114|FB:FBgn0264001|MGI:MGI:1926034|PANTHER:PTN002768817|PomBase:SPAC1610.03c|RGD:68347|SGD:S000005846|UniProtKB:O04425|UniProtKB:P0DJD4|UniProtKB:P11940|UniProtKB:Q5SZQ8|UniProtKB:Q8IDB7|UniProtKB:Q8IUH3|UniProtKB:Q92879	9606	GO_Central		F
UniProtKB	A6NFN3	RBFOX3	enables	GO:0003723	RNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017325|InterPro:IPR034237	9606	InterPro		F
UniProtKB	A6NFN3	RBFOX3	enables	GO:0003723	RNA binding	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-0694	9606	UniProt		F
