HuH7 mRNA interactome_Ensembl gene ID,HuH7 mRNA interactome_ENSEMBL Gene Name,HuH7 mRNA interactome_Entrez Gene ID,Uniprot,mRNA interactome status,average log2 fold change (cCL/control),padj cCL,average log2 fold change (PAR-CL/control),padj PAR-CL,HuH7 mRNA interactome_RNA biology status,HuH7 mRNA interactome_RBD,human mRNA interactomes_Ensembl gene ID,HeLa,HEK293,HuH7,human mRNA interactomes_ENSEMBL Gene Name,human mRNA interactomes_Entrez Gene ID,Uniprot entry,human mRNA interactomes_RNA biology status,human mRNA interactomes_RBD,enigmRBP,"""classical"" metablic enzyme",EC number,EC class,"Conserved ""core"" RBP",InParanoid Cluster ID,Uniprot ID,Organism
ENSG00000137877,SPTBN5,51332,Q9NRC6,mRNA interactome,7.501068,0.0003661219,,,unknown,unknown,ENSG00000137877,no evidence,no evidence,mRNA interactome,SPTBN5,51332,Q9NRC6,unknown,unknown,yes,,,,,,,
ENSG00000162244,RPL29,6159,P47914,mRNA interactome,6.782616,0.0002009072,,,linked,unknown,ENSG00000162244,mRNA interactome,mRNA interactome,mRNA interactome,RPL29,6159,P47914,linked,unknown,,,,,,,,
ENSG00000124193,SRSF6,6431,Q13247,mRNA interactome,6.684598,0.0002009072,6.8756813333,0.0004385888,linked,recognized,ENSG00000124193,mRNA interactome,mRNA interactome,mRNA interactome,SRSF6,6431,Q13247,linked,recognized,,,,,,,,
ENSG00000144642,RBMS3,27303,Q6XE24,mRNA interactome,6.610615,0.0005824179,,,linked,recognized,ENSG00000144642,no evidence,no evidence,mRNA interactome,RBMS3,27303,Q6XE24,linked,recognized,,,,,,,,
ENSG00000197728,RPS26,6231,P62854,mRNA interactome,6.436109,0.0003398192,5.8514125,0.0009145816,linked,unknown,ENSG00000197728,mRNA interactome,mRNA interactome,mRNA interactome,RPS26,6231,P62854,linked,unknown,,,,,core,1198,P62854,H.sapiens
ENSG00000179172,HNRNPCL1,343069,O60812,mRNA interactome,6.4228975,0.0004454562,6.17574,0.000676919,linked,recognized,ENSG00000179172,no evidence,mRNA interactome,mRNA interactome,HNRNPCL1,343069,O60812,linked,recognized,,,,,,,,
ENSG00000101104,PABPC1L,80336,Q4VXU2,mRNA interactome,6.399175,0.0009747072,6.7752495,0.0005114115,linked,recognized,ENSG00000101104,no evidence,no evidence,mRNA interactome,PABPC1L,80336,Q4VXU2,linked,recognized,,,,,core,245,Q4VXU2,H.sapiens
ENSG00000198498,TMA16,55319,Q96EY4,mRNA interactome,6.3062056667,0.0002009072,,,unknown,unknown,ENSG00000198498,no evidence,no evidence,mRNA interactome,TMA16,55319,Q96EY4,unknown,unknown,yes,,,,,,,
ENSG00000115875,SRSF7,6432,Q16629,mRNA interactome,6.1964693333,0.0002009072,6.182666,0.0004385888,linked,recognized,ENSG00000115875,mRNA interactome,mRNA interactome,mRNA interactome,SRSF7,6432,Q16629,linked,recognized,,,,,,,,
ENSG00000125970,RALY,22913,Q9UKM9,mRNA interactome,6.196393,0.0002009072,5.8391343333,0.0004385888,linked,recognized,ENSG00000125970,mRNA interactome,mRNA interactome,mRNA interactome,RALY,22913,Q9UKM9,linked,recognized,,,,,,,,
