Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P31663	PANC_ECOLI	reviewed	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC b0133 JW0129	Escherichia coli (strain K12)	283
P0A790	PAND_ECOLI	reviewed	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD b0131 JW0127	Escherichia coli (strain K12)	126
P77324	PAOB_ECOLI	reviewed	Aldehyde oxidoreductase FAD-binding subunit PaoB (EC 1.2.99.6)	paoB yagS b0285 JW0279	Escherichia coli (strain K12)	318
P77489	PAOC_ECOLI	reviewed	Aldehyde oxidoreductase molybdenum-binding subunit PaoC (EC 1.2.99.6)	paoC yagR b0284 JW0278	Escherichia coli (strain K12)	732
P77183	PAOD_ECOLI	reviewed	Molybdenum cofactor insertion chaperone PaoD	paoD yagQ b0283 JW0277	Escherichia coli (strain K12)	318
P0ABF1	PCNB_ECOLI	reviewed	Poly(A) polymerase I (PAP I) (EC 2.7.7.19) (Plasmid copy number protein)	pcnB b0143 JW5808	Escherichia coli (strain K12)	465
P23842	PDEA_ECOLI	reviewed	Probable cyclic di-GMP phosphodiesterase PdeA (EC 3.1.4.52)	pdeA yfeA b2395 JW5391	Escherichia coli (strain K12)	729
P77473	PDEB_ECOLI	reviewed	Probable cyclic di-GMP phosphodiesterase PdeB (EC 3.1.4.52)	pdeB ylaB b0457 JW5062	Escherichia coli (strain K12)	516
P32701	PDEC_ECOLI	reviewed	Probable cyclic di-GMP phosphodiesterase PdeC (EC 3.1.4.52)	pdeC yjcC b4061 JW4022	Escherichia coli (strain K12)	528
P77334	PDER_ECOLI	reviewed	Cyclic di-GMP phosphodiesterase PdeR (EC 3.1.4.52)	pdeR gmr yciR b1285 JW1278	Escherichia coli (strain K12)	661
P05459	PDXB_ECOLI	reviewed	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	pdxB b2320 JW2317	Escherichia coli (strain K12)	378
P64453	ORTT_ECOLI	reviewed	Orphan toxin OrtT	ortT ydcX b1445 JW5232	Escherichia coli (strain K12)	57
P42905	PTPC2_ECOLI	reviewed	Putative N-acetylgalactosamine permease IIC component 2 (EIIC-Aga') (PTS system N-acetylgalactosamine-specific EIIC component 2)	agaW b3134	Escherichia coli (strain K12)	133
P42911	PTPD_ECOLI	reviewed	N-acetylgalactosamine permease IID component (EIID-Aga) (PTS system N-acetylgalactosamine-specific EIID component)	agaD yraF b3140 JW3109	Escherichia coli (strain K12)	263
P05458	PTRA_ECOLI	reviewed	Protease 3 (EC 3.4.24.55) (Pitrilysin) (Protease III) (Protease pi)	ptrA ptr b2821 JW2789	Escherichia coli (strain K12)	962
